시도교육청,지역교육청,지역,학교명,설립구분,인적자원운용,학생복지/교육격차해소,기본적교육활동,선택적교육활동,교육활동지원,학교일반운영,학교시설확충,학교재무활동
서울특별시교육청,교육부,서울특별시 서초구,서울교육대학교부설초등학교,국립,"62,424,000","75,563,000","298,905,000","41,066,000","117,811,000","198,808,000",0,"433,000"
서울특별시교육청,교육부,서울특별시 종로구,서울대학교사범대학부설초등학교,국립,"124,689,000","799,534,000","349,600,000","1,237,080,000","433,220,000","229,013,000",0,"7,300,000"
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울개원초등학교,공립,"24,710,000","111,384,000","82,592,000","34,033,000","65,512,000","192,403,000",0,0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울개일초등학교,공립,"38,292,000","53,015,000","103,648,000","39,135,000","104,423,000","202,184,000",0,0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울구룡초등학교,공립,"32,030,000","46,584,000","69,777,000","63,889,000","83,166,000","218,378,000","3,512,000",0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울논현초등학교,공립,"32,850,000","138,230,000","205,836,000","317,978,000","90,632,000","414,122,000",0,0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대곡초등학교,공립,"53,310,000","88,897,000","76,322,000","27,112,000","72,082,000","279,726,000","20,000,000","5,000,000"
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대도초등학교,공립,"70,046,000","1,271,474,000","97,192,000","36,316,000","109,736,000","293,561,000",0,0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대모초등학교,공립,"50,300,000","66,734,000","101,003,000","33,650,000","129,866,000","236,061,000",0,0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대왕초등학교,공립,"47,480,000","154,925,000","313,662,000","39,765,000","122,171,000","240,234,000",0,0
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대진초등학교,공립,"28,540,000","39,814,000","163,795,000","219,534,000","76,613,000","180,531,000",0,"1,000,000"
