지역,돌봄참여비,맞벌이가구비율,기초수급자비율,사교육참여율
서울특별시,0.092,0.404,0.036,0.895
부산광역시,0.087,0.398,0.052,0.779
대구광역시,0.078,0.427,0.051,0.83
인천광역시,0.079,0.456,0.051,0.83
광주광역시,0.071,0.477,0.062,0.79
대전광역시,0.103,0.471,0.047,0.846
울산광역시,0.092,0.381,0.019,0.83
세종특별자치시,0.119,0.526,0.016,0.854
경기도,0.078,0.446,0.029,0.84
강원도,0.154,0.535,0.052,0.79
충청북도,0.114,0.523,0.047,0.79
충청남도,0.138,0.555,0.038,0.759
전라북도,0.172,0.524,0.076,0.769
전라남도,0.153,0.575,0.059,0.725
경상북도,0.13,0.535,0.049,0.804
경상남도,0.108,0.491,0.043,0.819
제주특별자치도,0.118,0.615,0.05,0.772
