시도교육청,지역교육청,지역,학교명,설립구분,오후돌봄운영교실수,오후돌봄참여학생수,저녁돌봄운영교실수,저녁돌봄참여학생수,1-4학년 학생수,방과후학교 연계형돌봄운영교실수,방과후학교 연계형돌봄참여학생수,5-6학년 학생수
서울특별시교육청,교육부,서울특별시 서초구,서울교육대학교부설초등학교,국립,0,0,0,0,397,0,0,226
서울특별시교육청,교육부,서울특별시 종로구,서울대학교사범대학부설초등학교,국립,0,0,0,0,414,0,0,233
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울개원초등학교,공립,2,24,1,3,68,0,0,58
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울개일초등학교,공립,2,39,0,0,452,0,0,257
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울구룡초등학교,공립,2,50,1,15,313,1,18,170
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울논현초등학교,공립,3,53,1,8,233,1,27,104
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대곡초등학교,공립,1,26,0,0,661,0,0,495
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대도초등학교,공립,1,18,1,6,1282,0,0,763
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대모초등학교,공립,3,75,1,10,715,1,18,378
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대왕초등학교,공립,4,76,1,8,654,1,7,274
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대진초등학교,공립,2,42,0,0,178,0,0,95
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대청초등학교,공립,1,20,1,2,97,1,10,66
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대치초등학교,공립,1,21,1,5,908,0,0,616
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울대현초등학교,공립,0,0,0,0,367,0,0,307
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울도곡초등학교,공립,3,70,1,9,550,1,25,348
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울도성초등학교,공립,1,25,1,2,1032,2,28,649
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울반원초등학교,공립,2,41,1,5,870,1,9,524
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울반포초등학교,공립,2,41,1,5,648,1,11,374
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울방배초등학교,공립,2,45,1,15,631,1,8,355
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울방일초등학교,공립,2,54,1,3,578,1,21,286
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울방현초등학교,공립,1,24,1,1,231,1,14,98
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울봉은초등학교,공립,1,24,1,0,392,0,0,193
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울삼릉초등학교,공립,2,50,1,7,330,1,18,197
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서래초등학교,공립,2,50,1,1,872,1,20,472
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서원초등학교,공립,2,50,1,14,636,1,18,335
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서이초등학교,공립,3,81,1,10,674,1,27,382
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서일초등학교,공립,3,76,0,0,379,1,11,170
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울서초초등학교,공립,2,48,1,5,659,1,8,308
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울수서초등학교,공립,2,46,1,7,136,0,0,59
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울신구초등학교,공립,2,44,1,4,346,1,23,198
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울신동초등학교,공립,2,53,1,1,1012,0,0,543
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울신중초등학교,공립,1,25,0,0,571,0,0,304
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울압구정초등학교,공립,1,13,0,0,728,0,0,301
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울양재초등학교,공립,3,76,1,14,409,1,25,170
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울양전초등학교,공립,1,31,0,0,285,1,8,192
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울언남초등학교,공립,4,107,1,7,758,1,25,191
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울언북초등학교,공립,4,90,1,5,1215,1,11,619
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울언주초등학교,공립,3,76,1,6,1037,1,25,476
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울역삼초등학교,공립,2,50,1,25,210,1,5,125
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울영희초등학교,공립,2,31,0,0,229,1,25,128
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,서울왕북초등학교,공립,2,35,1,4,518,1,12,269
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,서울우암초등학교,공립,1,27,1,4,278,1,19,87
